Company_Name,Keywords
Tata Motors Limited,AI
Wipro Limited,AR
Infosys Limited,Artificial Intelligence
Tata Steel Ltd,Augmented Reality
HCL Technologies Ltd,Big Data
Vedanta Limited,Blockchain
Bajaj Auto Limited,Business Continuity
Tata Consultancy Services Ltd,Business Expansion
Larsen & Toubro Limited,Chatbot
Asian Paints,Cloud
The Tata Power Company Limited,CTO
Sun Pharmaceutical Industries Ltd,Cyber Security
UPL Limited,Data Security
Ashok Leyland Ltd,Deep Learning
Hero MotoCorp Limited,Digital Engineering
Mahindra & Mahindra Limited,Digital Strategy
ITC Limited,Digital transformation
Adani Enterprises Limited,Industry 4.0
Britannia Industries Limited,Internet of Things
Maruti Suzuki India Limited,IOT
Jindal Steel and Power Ltd,IT Infrastructure
Tech Mahindra Limited,layoff
Tata Motors,Machine Learning
Wipro,Mixed Reality
Infosys,ML
Tata Steel,Network Infrastructure
HCL ,Neural Networks
Vedanta,NLP
Bajaj Auto,Partnerships
TCS,Product launch
L&T,R&D
Asian Paints,Remote Sensing
Tata Power,Robotics
Sun Pharma,RPA
UPL,SaaS
Ashok Leyland,Sensors
Hero MotoCorp,Technology Focus
Mahindra & Mahindra,Technology Initiative
ITC,Virtual Reality
Adani,VR
Britannia,
Maruti Suzuki,
Jindal Steel and Power,
Tech Mahindra,
